Tarih,Sube,Musteri_ID,Urun_Kategorisi,Urun_Adi,Miktar,Birim_Fiyat,Toplam_Tutar,Musteri_Tipi,Odeme_Yontemi
2024-01-27,Kadıköy,M0114,Kurabiye,Beyaz Çikolatalı,1,29.54,29.54,Misafir,Yemek Kartı
2024-01-27,Şişli,M0195,Dondurma,Meyveli Bardak,1,71.73,64.56,Üye,Kredi Kartı
2024-01-28,Bakırköy,M0096,Kek,Limonlu Kek,4,102.0,367.2,Üye,Kredi Kartı
2024-01-30,Üsküdar,M0104,Pasta,Cheesecake,2,271.32,488.38,Üye,Nakit
2024-01-31,Kadıköy,M0180,İçecek,Filtre Kahve,5,61.77,308.85,Misafir,Banka Kartı
2024-02-01,Bakırköy,M0036,İçecek,Filtre Kahve,5,53.28,266.4,Misafir,Yemek Kartı
2024-02-01,Beşiktaş,M0162,İçecek,Sıcak Çikolata,8,66.74,480.53,Üye,Nakit
2024-02-03,Şişli,M0148,Dondurma,Meyveli Bardak,8,66.86,534.88,Misafir,Nakit
2024-02-04,Bakırköy,M0091,Dondurma,Meyveli Bardak,5,70.65,317.93,Üye,Nakit
2024-02-07,Beşiktaş,M0130,Dondurma,Meyveli Bardak,2,60.53,108.95,Üye,Banka Kartı
2024-02-07,Üsküdar,M0022,Pasta,Cheesecake,3,283.42,850.26,Misafir,Kredi Kartı
2024-02-07,Bakırköy,M0051,İçecek,Espresso,6,47.07,282.42,Misafir,Yemek Kartı
2024-02-07,Beşiktaş,M0098,İçecek,Latte,4,81.45,325.8,Misafir,Banka Kartı
2024-02-07,Beşiktaş,M0088,Kurabiye,Yulaflı Kurabiye,7,18.94,119.32,Üye,Kredi Kartı
2024-02-07,Bakırköy,M0033,Kek,Limonlu Kek,5,111.66,502.47,Üye,Nakit
2024-02-07,Beşiktaş,M0016,Kek,Havuçlu Kek,1,108.29,97.46,Üye,Yemek Kartı
2024-02-08,Üsküdar,M0145,Kurabiye,Çikolatalı Kurabiye,5,25.5,114.75,Üye,Nakit
2024-02-09,Üsküdar,M0064,Kurabiye,Beyaz Çikolatalı,6,27.89,167.34,Misafir,Nakit
2024-02-09,Şişli,M0078,İçecek,Latte,5,84.74,381.33,Üye,Nakit
2024-02-09,Kadıköy,M0031,Kek,Havuçlu Kek,8,102.22,817.76,Misafir,Yemek Kartı
2024-02-12,Bakırköy,M0084,Kurabiye,Yulaflı Kurabiye,3,17.2,51.6,Misafir,Kredi Kartı
2024-02-12,Bakırköy,M0136,Dondurma,Meyveli Bardak,6,67.42,364.07,Üye,Nakit
2024-02-13,Beşiktaş,M0151,Dondurma,Vanilya Cone,6,45.56,246.02,Üye,Banka Kartı
2024-02-14,Şişli,M0087,Dondurma,Vanilya Cone,8,43.38,347.04,Misafir,Nakit
2024-02-14,Bakırköy,M0031,Pasta,Mille Feuille,1,164.13,147.72,Üye,Nakit
2024-02-15,Şişli,M0075,Kek,Havuçlu Kek,6,122.73,662.74,Üye,Yemek Kartı
2024-02-17,Kadıköy,M0016,Kurabiye,Yulaflı Kurabiye,8,18.93,151.44,Misafir,Kredi Kartı
2024-02-17,Kadıköy,M0128,Pasta,Mille Feuille,2,176.32,317.38,Üye,Banka Kartı
2024-02-17,Bakırköy,M0180,Dondurma,Çikolatalı Top,8,43.06,310.03,Üye,Kredi Kartı
2024-02-18,Üsküdar,M0086,Dondurma,Çikolatalı Top,5,49.74,223.83,Üye,Nakit
2024-02-18,Bakırköy,M0034,Pasta,Cheesecake,2,238.67,429.61,Üye,Kredi Kartı
2024-02-19,Kadıköy,M0151,Kek,Havuçlu Kek,7,112.89,790.23,Misafir,Kredi Kartı
2024-02-21,Kadıköy,M0123,Pasta,Cheesecake,7,274.56,1921.92,Misafir,Kredi Kartı
2024-02-22,Kadıköy,M0027,Pasta,Cheesecake,7,263.14,1841.98,Misafir,Nakit
2024-02-24,Üsküdar,M0053,Kurabiye,Yulaflı Kurabiye,5,19.42,97.1,Misafir,Banka Kartı
2024-02-24,Bakırköy,M0032,Kurabiye,Çikolatalı Kurabiye,8,21.5,154.8,Üye,Yemek Kartı
2024-02-25,Kadıköy,M0111,İçecek,Latte,8,93.9,751.2,Misafir,Nakit
2024-02-26,Kadıköy,M0098,Kurabiye,Beyaz Çikolatalı,7,29.08,203.56,Misafir,Yemek Kartı
2024-02-26,Şişli,M0154,Kek,Limonlu Kek,5,94.5,472.5,Misafir,Nakit
2024-02-27,Şişli,M0129,Dondurma,Vanilya Cone,8,38.28,306.24,Misafir,Kredi Kartı
2024-02-27,Beşiktaş,M0111,Kurabiye,Beyaz Çikolatalı,1,30.51,27.46,Üye,Kredi Kartı
2024-03-01,Üsküdar,M0116,Dondurma,Meyveli Bardak,4,70.36,281.44,Misafir,Yemek Kartı
2024-03-01,Kadıköy,M0043,Kurabiye,Beyaz Çikolatalı,6,30.67,184.02,Misafir,Kredi Kartı
2024-03-02,Üsküdar,M0103,Pasta,Cheesecake,4,283.04,1018.94,Üye,Nakit
2024-03-03,Beşiktaş,M0142,Kek,Havuçlu Kek,3,109.46,295.54,Üye,Yemek Kartı
2024-03-03,Beşiktaş,M0153,Kurabiye,Yulaflı Kurabiye,8,17.25,138.0,Misafir,Nakit
2024-03-05,Üsküdar,M0026,Kek,Limonlu Kek,2,112.73,225.46,Misafir,Yemek Kartı
2024-03-05,Şişli,M0033,Pasta,Mille Feuille,8,177.48,1419.84,Misafir,Kredi Kartı
2024-03-05,Şişli,M0135,Pasta,Yaş Pasta,6,354.0,2124.0,Misafir,Nakit
2024-03-06,Beşiktaş,M0044,İçecek,Filtre Kahve,1,62.31,56.08,Üye,Yemek Kartı
2024-03-07,Bakırköy,M0043,Kek,Havuçlu Kek,2,114.43,228.86,Misafir,Kredi Kartı
2024-03-08,Şişli,M0140,Pasta,Cheesecake,6,253.96,1523.76,Misafir,Banka Kartı
2024-03-09,Bakırköy,M0157,Kek,Çikolatalı Kek,6,135.2,811.2,Misafir,Yemek Kartı
2024-03-10,Beşiktaş,M0171,Dondurma,Vanilya Cone,8,47.23,377.84,Misafir,Banka Kartı
2024-03-11,Kadıköy,M0170,Pasta,Tiramisu,2,209.34,376.81,Üye,Banka Kartı
2024-03-12,Şişli,M0019,Kurabiye,Yulaflı Kurabiye,3,19.86,59.58,Misafir,Yemek Kartı
2024-03-15,Şişli,M0046,Kurabiye,Çikolatalı Kurabiye,3,25.05,67.64,Üye,Yemek Kartı
2024-03-15,Beşiktaş,M0059,İçecek,Sıcak Çikolata,5,66.04,330.2,Misafir,Yemek Kartı
2024-03-16,Kadıköy,M0108,Pasta,Yaş Pasta,4,298.83,1195.32,Misafir,Kredi Kartı
2024-03-17,Üsküdar,M0061,Kek,Çikolatalı Kek,7,113.39,793.73,Misafir,Banka Kartı
2024-03-20,Beşiktaş,M0138,Kurabiye,Yulaflı Kurabiye,8,18.26,131.47,Üye,Banka Kartı
2024-03-21,Bakırköy,M0167,Dondurma,Vanilya Cone,7,40.07,252.44,Üye,Banka Kartı
2024-03-22,Şişli,M0014,Pasta,Tiramisu,5,190.63,857.84,Üye,Yemek Kartı
2024-03-24,Şişli,M0102,Pasta,Yaş Pasta,5,337.81,1689.05,Misafir,Kredi Kartı
2024-03-25,Şişli,M0020,Dondurma,Çikolatalı Top,6,50.54,303.24,Misafir,Kredi Kartı
2024-03-28,Kadıköy,M0060,Pasta,Mille Feuille,4,170.92,615.31,Üye,Yemek Kartı
2024-03-30,Beşiktaş,M0151,Pasta,Cheesecake,1,258.06,232.25,Üye,Banka Kartı
2024-03-30,Bakırköy,M0192,Kurabiye,Çikolatalı Kurabiye,7,25.19,158.7,Üye,Banka Kartı
2024-04-03,Şişli,M0013,Dondurma,Vanilya Cone,2,42.24,76.03,Üye,Nakit
2024-04-08,Bakırköy,M0104,Dondurma,Meyveli Bardak,3,68.12,204.36,Misafir,Nakit
2024-04-08,Kadıköy,M0076,Dondurma,Çikolatalı Top,5,52.31,235.4,Üye,Kredi Kartı
2024-04-12,Bakırköy,M0103,İçecek,Espresso,4,44.73,161.03,Üye,Banka Kartı
2024-04-15,Bakırköy,M0123,Dondurma,Meyveli Bardak,1,71.49,71.49,Misafir,Nakit
2024-04-15,Kadıköy,M0083,Pasta,Tiramisu,5,213.26,959.67,Üye,Banka Kartı
2024-04-16,Bakırköy,M0041,İçecek,Sıcak Çikolata,5,76.54,344.43,Üye,Banka Kartı
2024-04-19,Kadıköy,M0063,Kek,Limonlu Kek,5,96.52,434.34,Üye,Nakit
2024-04-21,Bakırköy,M0087,Kurabiye,Yulaflı Kurabiye,5,18.29,91.45,Misafir,Kredi Kartı
2024-04-21,Beşiktaş,M0090,Pasta,Cheesecake,2,271.02,542.04,Misafir,Yemek Kartı
2024-04-24,Beşiktaş,M0137,Pasta,Tiramisu,8,216.63,1733.04,Misafir,Yemek Kartı
2024-04-24,Şişli,M0147,Kurabiye,Yulaflı Kurabiye,6,18.09,97.69,Üye,Banka Kartı
2024-04-25,Bakırköy,M0068,Kek,Limonlu Kek,2,110.9,199.62,Üye,Nakit
2024-04-25,Şişli,M0144,İçecek,Latte,8,82.21,657.68,Misafir,Banka Kartı
2024-04-26,Şişli,M0022,Kek,Limonlu Kek,7,97.59,683.13,Misafir,Banka Kartı
2024-04-27,Kadıköy,M0009,Dondurma,Çikolatalı Top,3,45.26,122.2,Üye,Yemek Kartı
2024-04-27,Kadıköy,M0176,Kek,Limonlu Kek,5,94.52,425.34,Üye,Banka Kartı
2024-04-29,Şişli,M0034,Kurabiye,Beyaz Çikolatalı,1,27.16,24.44,Üye,Banka Kartı
2024-04-29,Üsküdar,M0170,İçecek,Espresso,4,45.52,163.87,Üye,Kredi Kartı
2024-05-02,Bakırköy,M0136,Dondurma,Vanilya Cone,4,42.75,153.9,Üye,Nakit
2024-05-03,Üsküdar,M0033,Pasta,Yaş Pasta,8,354.62,2553.26,Üye,Yemek Kartı
2024-05-03,Üsküdar,M0018,Dondurma,Vanilya Cone,2,42.96,85.92,Misafir,Nakit
2024-05-03,Kadıköy,M0153,Kek,Limonlu Kek,1,94.61,94.61,Misafir,Yemek Kartı
2024-05-04,Kadıköy,M0151,Kek,Havuçlu Kek,2,121.92,219.46,Üye,Kredi Kartı
2024-05-05,Beşiktaş,M0036,Dondurma,Çikolatalı Top,4,47.9,172.44,Üye,Banka Kartı
2024-05-05,Beşiktaş,M0010,Dondurma,Çikolatalı Top,7,51.7,325.71,Üye,Yemek Kartı
2024-05-06,Beşiktaş,M0190,Pasta,Tiramisu,3,203.72,550.04,Üye,Yemek Kartı
2024-05-10,Kadıköy,M0138,İçecek,Filtre Kahve,8,61.17,440.42,Üye,Kredi Kartı
2024-05-13,Kadıköy,M0118,İçecek,Latte,5,83.62,418.1,Misafir,Banka Kartı
2024-05-13,Kadıköy,M0089,Kek,Limonlu Kek,1,95.88,95.88,Misafir,Banka Kartı
2024-05-14,Bakırköy,M0151,Kek,Çikolatalı Kek,6,126.02,756.12,Misafir,Nakit
2024-05-14,Üsküdar,M0128,Pasta,Mille Feuille,8,171.39,1234.01,Üye,Kredi Kartı
2024-05-15,Üsküdar,M0135,Kek,Havuçlu Kek,1,116.0,104.4,Üye,Yemek Kartı
2024-05-18,Şişli,M0031,İçecek,Latte,2,89.48,178.96,Misafir,Kredi Kartı
2024-05-19,Beşiktaş,M0087,İçecek,Sıcak Çikolata,7,74.9,524.3,Misafir,Kredi Kartı
2024-05-19,Kadıköy,M0184,Pasta,Tiramisu,3,219.17,657.51,Misafir,Kredi Kartı
2024-05-20,Beşiktaş,M0074,Kek,Çikolatalı Kek,1,134.18,134.18,Misafir,Kredi Kartı
2024-05-20,Kadıköy,M0141,Kek,Limonlu Kek,3,110.68,332.04,Misafir,Nakit
2024-05-21,Kadıköy,M0013,Pasta,Mille Feuille,2,176.86,318.35,Üye,Banka Kartı
2024-05-22,Beşiktaş,M0008,İçecek,Espresso,7,49.3,345.1,Misafir,Nakit
2024-05-22,Kadıköy,M0090,Kek,Limonlu Kek,8,114.82,918.56,Misafir,Yemek Kartı
2024-05-22,Beşiktaş,M0138,İçecek,Filtre Kahve,4,62.69,225.68,Üye,Banka Kartı
2024-05-23,Bakırköy,M0106,Kurabiye,Çikolatalı Kurabiye,4,24.49,97.96,Misafir,Yemek Kartı
2024-05-24,Bakırköy,M0017,Dondurma,Çikolatalı Top,1,50.39,50.39,Misafir,Banka Kartı
2024-05-24,Bakırköy,M0132,Dondurma,Meyveli Bardak,6,63.82,382.92,Misafir,Yemek Kartı
2024-05-26,Üsküdar,M0187,Pasta,Yaş Pasta,7,306.88,2148.16,Misafir,Banka Kartı
2024-05-27,Beşiktaş,M0089,Kek,Çikolatalı Kek,7,133.79,936.53,Misafir,Kredi Kartı
2024-05-27,Şişli,M0137,İçecek,Filtre Kahve,2,58.83,105.89,Üye,Nakit
2024-05-28,Beşiktaş,M0042,Kurabiye,Çikolatalı Kurabiye,7,22.64,158.48,Misafir,Banka Kartı
2024-05-28,Beşiktaş,M0192,İçecek,Filtre Kahve,6,62.09,372.54,Misafir,Yemek Kartı
2024-05-28,Üsküdar,M0016,İçecek,Filtre Kahve,3,62.55,187.65,Misafir,Banka Kartı
2024-05-29,Bakırköy,M0094,Kek,Havuçlu Kek,6,111.03,666.18,Misafir,Nakit
2024-05-29,Üsküdar,M0198,İçecek,Latte,8,83.13,665.04,Misafir,Kredi Kartı
2024-05-30,Şişli,M0145,İçecek,Sıcak Çikolata,3,67.41,202.23,Misafir,Kredi Kartı
2024-05-31,Kadıköy,M0129,Pasta,Yaş Pasta,6,301.5,1809.0,Misafir,Kredi Kartı
2024-06-01,Üsküdar,M0196,Dondurma,Çikolatalı Top,12,52.1,562.68,Üye,Kredi Kartı
2024-06-02,Şişli,M0102,Kek,Çikolatalı Kek,4,122.95,442.62,Üye,Banka Kartı
2024-06-03,Şişli,M0077,Dondurma,Vanilya Cone,5,42.16,210.8,Misafir,Yemek Kartı
2024-06-04,Şişli,M0173,Kurabiye,Yulaflı Kurabiye,6,18.86,113.16,Misafir,Kredi Kartı
2024-06-05,Üsküdar,M0091,İçecek,Sıcak Çikolata,6,70.13,420.78,Misafir,Yemek Kartı
2024-06-07,Bakırköy,M0166,Dondurma,Vanilya Cone,8,45.74,329.33,Üye,Nakit
2024-06-07,Bakırköy,M0200,Kurabiye,Yulaflı Kurabiye,8,18.85,150.8,Misafir,Yemek Kartı
2024-06-09,Bakırköy,M0018,İçecek,Espresso,6,52.04,312.24,Misafir,Nakit
2024-06-09,Şişli,M0082,İçecek,Sıcak Çikolata,3,75.16,202.93,Üye,Kredi Kartı
2024-06-09,Beşiktaş,M0131,Kurabiye,Yulaflı Kurabiye,2,17.73,31.91,Üye,Yemek Kartı
2024-06-10,Bakırköy,M0055,İçecek,Filtre Kahve,4,61.96,247.84,Misafir,Yemek Kartı
2024-06-10,Kadıköy,M0200,Kurabiye,Yulaflı Kurabiye,2,17.99,35.98,Misafir,Nakit
2024-06-11,Şişli,M0093,Pasta,Yaş Pasta,1,363.51,363.51,Misafir,Banka Kartı
2024-06-11,Bakırköy,M0200,İçecek,Latte,2,93.48,168.26,Üye,Nakit
2024-06-13,Üsküdar,M0183,Dondurma,Meyveli Bardak,3,65.81,197.43,Misafir,Nakit
2024-06-14,Kadıköy,M0033,İçecek,Espresso,2,45.01,90.02,Misafir,Banka Kartı
2024-06-16,Bakırköy,M0136,Kurabiye,Çikolatalı Kurabiye,3,25.18,75.54,Misafir,Banka Kartı
2024-06-16,Üsküdar,M0152,İçecek,Latte,7,94.33,660.31,Misafir,Banka Kartı
2024-06-16,Üsküdar,M0017,Pasta,Yaş Pasta,8,341.94,2735.52,Misafir,Yemek Kartı
2024-06-19,Kadıköy,M0144,İçecek,Latte,8,86.43,691.44,Misafir,Nakit
2024-06-19,Şişli,M0074,Pasta,Cheesecake,6,261.05,1566.3,Misafir,Yemek Kartı
2024-06-20,Şişli,M0178,Kek,Havuçlu Kek,3,105.62,316.86,Misafir,Kredi Kartı
2024-06-20,Beşiktaş,M0108,Dondurma,Meyveli Bardak,4,62.37,224.53,Üye,Yemek Kartı
2024-06-23,Kadıköy,M0103,Pasta,Tiramisu,8,192.02,1382.54,Üye,Yemek Kartı
2024-06-25,Kadıköy,M0165,Pasta,Tiramisu,3,188.95,566.85,Misafir,Kredi Kartı
2024-06-25,Beşiktaş,M0030,Dondurma,Vanilya Cone,9,46.53,376.89,Üye,Kredi Kartı
2024-06-26,Üsküdar,M0004,Dondurma,Meyveli Bardak,4,66.58,266.32,Misafir,Yemek Kartı
2024-06-27,Şişli,M0122,İçecek,Sıcak Çikolata,4,71.57,286.28,Misafir,Nakit
2024-06-27,Şişli,M0173,Dondurma,Meyveli Bardak,7,72.36,455.87,Üye,Kredi Kartı
2024-06-28,Üsküdar,M0144,İçecek,Filtre Kahve,5,57.89,289.45,Misafir,Nakit
2024-06-29,Şişli,M0125,Dondurma,Çikolatalı Top,10,44.69,446.9,Misafir,Nakit
2024-06-29,Beşiktaş,M0058,Kek,Çikolatalı Kek,4,114.52,458.08,Misafir,Nakit
2024-06-30,Kadıköy,M0042,İçecek,Filtre Kahve,3,57.41,155.01,Üye,Yemek Kartı
2024-07-02,Beşiktaş,M0105,Dondurma,Vanilya Cone,9,46.92,422.28,Misafir,Yemek Kartı
2024-07-03,Kadıköy,M0142,İçecek,Filtre Kahve,3,54.29,146.58,Üye,Banka Kartı
2024-07-03,Üsküdar,M0157,Kek,Limonlu Kek,8,111.18,800.5,Üye,Nakit
2024-07-03,Şişli,M0196,Kurabiye,Yulaflı Kurabiye,7,18.46,116.3,Üye,Yemek Kartı
2024-07-04,Üsküdar,M0187,Kek,Havuçlu Kek,8,114.09,821.45,Üye,Banka Kartı
2024-07-04,Bakırköy,M0096,Kek,Havuçlu Kek,3,118.3,354.9,Misafir,Yemek Kartı
2024-07-04,Üsküdar,M0127,Kurabiye,Çikolatalı Kurabiye,4,25.21,90.76,Üye,Nakit
2024-07-07,Şişli,M0018,Kurabiye,Yulaflı Kurabiye,3,19.57,52.84,Üye,Nakit
2024-07-07,Kadıköy,M0012,İçecek,Filtre Kahve,2,53.74,96.73,Üye,Nakit
2024-07-11,Bakırköy,M0199,Dondurma,Çikolatalı Top,8,45.62,364.96,Misafir,Nakit
2024-07-11,Kadıköy,M0182,Kek,Limonlu Kek,4,112.19,448.76,Misafir,Kredi Kartı
2024-07-12,Beşiktaş,M0012,Kek,Limonlu Kek,6,106.2,573.48,Üye,Kredi Kartı
2024-07-13,Beşiktaş,M0138,İçecek,Espresso,5,50.57,252.85,Misafir,Nakit
2024-07-13,Şişli,M0059,Kek,Havuçlu Kek,6,122.23,660.04,Üye,Nakit
2024-07-13,Beşiktaş,M0040,Dondurma,Çikolatalı Top,7,46.73,327.11,Misafir,Kredi Kartı
2024-07-14,Şişli,M0100,Dondurma,Meyveli Bardak,8,72.28,578.24,Misafir,Banka Kartı
2024-07-15,Kadıköy,M0067,Dondurma,Çikolatalı Top,7,48.32,304.42,Üye,Banka Kartı
2024-07-15,Kadıköy,M0020,Pasta,Tiramisu,1,191.3,172.17,Üye,Banka Kartı
2024-07-17,Beşiktaş,M0036,Kek,Havuçlu Kek,3,118.45,319.82,Üye,Banka Kartı
2024-07-18,Şişli,M0101,Dondurma,Meyveli Bardak,10,72.37,651.33,Üye,Nakit
2024-07-18,Bakırköy,M0092,Pasta,Mille Feuille,6,162.13,875.5,Üye,Nakit
2024-07-19,Üsküdar,M0015,Pasta,Tiramisu,7,219.12,1380.46,Üye,Kredi Kartı
2024-07-20,Şişli,M0129,İçecek,Espresso,3,44.49,133.47,Misafir,Nakit
2024-07-21,Bakırköy,M0192,Kurabiye,Yulaflı Kurabiye,3,17.99,53.97,Misafir,Yemek Kartı
2024-07-21,Şişli,M0131,İçecek,Latte,6,90.52,488.81,Üye,Nakit
2024-07-21,Şişli,M0167,Kek,Limonlu Kek,6,103.18,619.08,Misafir,Kredi Kartı
2024-07-21,Bakırköy,M0048,Pasta,Mille Feuille,7,159.22,1003.09,Üye,Banka Kartı
2024-07-23,Şişli,M0087,Dondurma,Meyveli Bardak,4,62.97,226.69,Üye,Nakit
2024-07-24,Şişli,M0051,Pasta,Tiramisu,2,187.96,338.33,Üye,Yemek Kartı
2024-07-25,Şişli,M0093,Pasta,Mille Feuille,1,173.53,156.18,Üye,Banka Kartı
2024-07-28,Bakırköy,M0181,Kek,Limonlu Kek,5,94.22,471.1,Misafir,Banka Kartı
2024-07-29,Kadıköy,M0121,İçecek,Latte,2,83.39,150.1,Üye,Kredi Kartı
2024-07-30,Kadıköy,M0144,Dondurma,Meyveli Bardak,3,69.38,187.33,Üye,Banka Kartı
2024-07-30,Şişli,M0143,İçecek,Filtre Kahve,3,58.51,175.53,Misafir,Yemek Kartı
2024-07-31,Beşiktaş,M0056,Dondurma,Meyveli Bardak,7,59.96,419.72,Misafir,Yemek Kartı
2024-07-31,Bakırköy,M0075,Dondurma,Vanilya Cone,12,38.53,416.12,Üye,Nakit
2024-08-02,Üsküdar,M0163,Kurabiye,Beyaz Çikolatalı,7,28.04,196.28,Misafir,Kredi Kartı
2024-08-05,Beşiktaş,M0023,Kurabiye,Yulaflı Kurabiye,1,18.8,18.8,Misafir,Yemek Kartı
2024-08-08,Bakırköy,M0107,Kurabiye,Yulaflı Kurabiye,6,20.31,121.86,Misafir,Nakit
2024-08-08,Kadıköy,M0019,Kurabiye,Yulaflı Kurabiye,4,19.0,76.0,Misafir,Yemek Kartı
2024-08-10,Kadıköy,M0180,Kurabiye,Yulaflı Kurabiye,5,20.4,102.0,Misafir,Banka Kartı
2024-08-11,Üsküdar,M0066,Kek,Havuçlu Kek,7,123.59,778.62,Üye,Nakit
2024-08-12,Beşiktaş,M0113,Dondurma,Meyveli Bardak,9,72.7,654.3,Misafir,Nakit
2024-08-12,Bakırköy,M0006,İçecek,Filtre Kahve,5,51.54,231.93,Üye,Banka Kartı
2024-08-15,Kadıköy,M0016,İçecek,Filtre Kahve,6,57.53,345.18,Misafir,Yemek Kartı
2024-08-17,Bakırköy,M0136,Dondurma,Vanilya Cone,8,39.32,314.56,Misafir,Kredi Kartı
2024-08-20,Şişli,M0065,İçecek,Sıcak Çikolata,5,75.03,375.15,Misafir,Nakit
2024-08-20,Şişli,M0121,İçecek,Sıcak Çikolata,6,65.38,353.05,Üye,Nakit
2024-08-20,Üsküdar,M0168,Kek,Limonlu Kek,2,110.95,199.71,Üye,Kredi Kartı
2024-08-21,Bakırköy,M0038,Kek,Havuçlu Kek,7,113.87,717.38,Üye,Nakit
2024-08-21,Şişli,M0199,Kurabiye,Beyaz Çikolatalı,4,28.93,104.15,Üye,Yemek Kartı
2024-08-22,Beşiktaş,M0126,Pasta,Mille Feuille,7,168.35,1060.61,Üye,Yemek Kartı
2024-08-22,Beşiktaş,M0020,Kek,Havuçlu Kek,3,117.29,351.87,Misafir,Nakit
2024-08-23,Kadıköy,M0048,İçecek,Latte,3,89.47,268.41,Misafir,Nakit
2024-08-23,Üsküdar,M0168,Kurabiye,Beyaz Çikolatalı,4,27.3,98.28,Üye,Nakit
2024-08-24,Kadıköy,M0102,Dondurma,Meyveli Bardak,5,68.47,342.35,Misafir,Nakit
2024-08-25,Üsküdar,M0039,Kek,Limonlu Kek,6,112.51,675.06,Misafir,Yemek Kartı
2024-08-25,Beşiktaş,M0100,Kek,Limonlu Kek,7,105.76,666.29,Üye,Kredi Kartı
2024-08-26,Beşiktaş,M0075,İçecek,Sıcak Çikolata,4,65.86,237.1,Üye,Yemek Kartı
2024-08-26,Beşiktaş,M0145,Dondurma,Çikolatalı Top,8,45.63,328.54,Üye,Kredi Kartı
2024-08-26,Şişli,M0095,İçecek,Espresso,2,48.03,86.45,Üye,Kredi Kartı
2024-08-28,Beşiktaş,M0200,Kek,Havuçlu Kek,6,107.38,579.85,Üye,Nakit
2024-09-02,Kadıköy,M0190,İçecek,Espresso,1,44.62,40.16,Üye,Nakit
2024-09-02,Kadıköy,M0142,Kek,Çikolatalı Kek,4,120.81,434.92,Üye,Banka Kartı
2024-09-04,Beşiktaş,M0006,Kurabiye,Yulaflı Kurabiye,6,19.3,115.8,Misafir,Yemek Kartı
2024-09-05,Üsküdar,M0089,Dondurma,Çikolatalı Top,5,44.66,200.97,Üye,Yemek Kartı
2024-09-07,Beşiktaş,M0046,Dondurma,Çikolatalı Top,8,49.57,396.56,Misafir,Banka Kartı
2024-09-07,Kadıköy,M0116,Kek,Çikolatalı Kek,5,126.82,634.1,Misafir,Nakit
2024-09-10,Şişli,M0088,Kurabiye,Yulaflı Kurabiye,4,18.42,73.68,Misafir,Banka Kartı
2024-09-11,Bakırköy,M0111,İçecek,Espresso,2,49.77,89.59,Üye,Kredi Kartı
